,,,,,,,,,,,,,,,,RE Task & Application Domain,,,,,,,,GenAI Model & Configuration,,,LLM Application Strategy & Prompt Engineering,,,,,Outputs & Resources,,,,Evaluation,,,Study Quality,,,,,Challenges & Future Directions,,,,,,,,,,,
15,Normative Requirements Operationalization with Large Language Models,,2024,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202749254&doi=10.1109%2fRE59067.2024.00022&partnerID=40&md5=34934c2a4957aa5054a569c726650feb,,,,,,,,,YES,F,1,,,1,,"General domain, with case studies in healthcare, robotics, autonomous vehicles, legal compliance, and more","Semantic relationship extraction, standardized demand analysis, demand verification",GPT-4,NO,-,Hybrid,"LLM-aided semantic relation extraction, logic-based filtering, stakeholder validation",FS,Instruction,Yes,RAINCOAT (with LLM-San module),yes,"Case studies from prior literature and new real-world cases (ALMI, ASPEN, AutoCar, BSN, DressAssist, CSI-Cobot, DAISY, DPA, SafeSCAD, Tabiat, Casper)",yes,"Number of relevant and spurious well-formedness issues identified, Stakeholder validation time, Comprehensiveness of requirements elicitation","Controlled experiment, case study, expert study (with non-technical stakeholders)",Functional Suitability，Reliability,1,1,0.5,1,3.5,no,YES,no,YES,no,no,YES,YES,YES,no,"concept/prototype, barriers highlighted (manual stakeholder validation required, not fully automated)",Manual validation of LLM outputs required; false positives in relation extraction; no automatic WFI resolution; limited to binary relations; only non-technical stakeholders evaluated
16,Quest-RE QUestion Generation and Exploration STrategy for Requirements Engineering,,2024,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203105440&doi=10.1109%2fREW61692.2024.00006&partnerID=40&md5=2672e6d4b43544922cb65c51790945a3,,,,,,,,,YES,F,1,1,1,,,General domain (demonstrated on app store platform and NASA X-38 Crew Return Vehicle),Requirements-related question generation,ChatGPT-4,NO,-,Standalone,zero-shot,-,Instruction,Yes,Tuple Manager (TM) / Quest-RE,no,"PURE dataset (NASA X-38 Crew Return Vehicle), hypothetical app store requirements",yes,Manual inspection of generated questions and tuples,"Illustrative examples, manual inspection","Functional Suitability,Reliability ,Interaction Capability",1,0.5,0.5,1,3,no,no,no,no,no,no,YES,YES,no,no,"concept/prototype, not in production",Does not address quality assurance of requirements in current scope; tool not publicly available; no quantitative evaluation
17,Can AI Help with the Formalization of Railway Cybersecurity Requirements?,,2024,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206976813&doi=10.1007%2f978-3-031-73709-1_12&partnerID=40&md5=55ce8966b30b976b5a53bd2bef8e220f,,,,,,,,,YES,F,,,1,,,Railway Cybersecurity,Natural language to CNL4DSA translation for railway cybersecurity requirements.,GPT-3.5，GPT-4,NO,-,Standalone experimental prompting,Iterative correction & teaching ,FS,Iterative,Yes,No,No,ERTMS L3 Signalling Requirements (R1–R5).,Semi-available,Qualitative human evaluation,case study / expert study ,Functional Suitability， Reliability，Interaction Capability,1,0.5,0.5,1,3,no,no,YES,YES,no,no,YES,YES,no,no,Proof-of-concept ,No open dataset or benchmark for others to replicate the study.
18,An Experiment in Retrofitting Competency Questions for Existing Ontologies,,2024,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195594103&doi=10.1145%2f3605098.3636053&partnerID=40&md5=53f9a5de78bb9f406e56b7d96ba294e8,,,,,,,,,YES,F,,,1,,,"Ontology engineering (general domain, with examples in video games, IoT, healthcare, astronomy)",Competency Questions Generation,GPT-3.5-turbo，GPT-4，LLaMA-2,NO,-,Standalone,,ZS,Instruction，description,Yes,RETROFIT-CQs,yes,"CORAL CQ repository, Video Game, VICINITY Core, Dem@care, Solar System Ontology",yes,"precision, recall, F1 score, human evaluation (developer validation)","controlled experiment, expert study (developer validation)",Functional Suitability，Reliability，Accuracy,1,1,1,1,4,no,no,no,YES,no,no,YES,YES,YES,no,concept/prototype,"Does not handle multi-hop questions, calculation/aggregation, or ambiguous/poorly-phrased CQs; only single-hop CQs generated; LLMs may generate questions not matching practitioner style."
19,ARCHCODE: Incorporating Software Requirements in Code Generation with Large Language Models,,2024,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204448005&partnerID=40&md5=4297201f8bf1f4f11665c0f25a0f0fcb,,,,,,,,,YES,F,,,1,1,,"General domain (software code generation, public benchmarks: HumanEval, CodeContests)",Extracting Software Requirements from Textual Descriptions,GPT-3.5-Turbo，WizardCoder 7B，SantaCoder 1B,NO,temperature:0.8,Standalone (framework with LLM as core component),"In-context learning (ICL), code filtering, requirements-aware generation, parallel code and test case generation, plug-and-play NFR preference control",FS,Instruction,Yes,ARCHCODE,yes,"HumanEval-NFR, HumanEval, CodeContests, MultiPL-E (Java)",yes,"Pass@k (Pass@1, Pass@5, etc.), category-specific Pass@k for NFRs (time performance, robustness, maintainability, reliability), human validation of requirements and test cases","Controlled experiment (public benchmarks), human validation of requirements and test cases, ablation studies, case studies",Functional Suitability，Reliability，Maintainability,1,1,1,0.5,3.5,no,no,no,YES,Computational,no,YES,YES,YES,no,"concept/prototype, open-source, barriers highlighted (e.g., cascading errors, need for human intervention/self-correction)","Limited prompt engineering, limited to 3 FR and 4 NFR types, future work needed for more complex/varied requirements and evolving requirements, cascading error risk"
20,Leveraging Large Language Model ChatGPT for enhanced understanding of end-user emotions in social media feedbacks,,2024,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206451604&doi=10.1016%2fj.eswa.2024.125524&partnerID=40&md5=fdf7e93820b9309bd3f1f54653aa8878,,,,,,,,,YES,F,1,,,,,General domain (user feedback for low-rated software apps in Amazon Appstore),Emotion Classification,GPT-3.5 Turbo,no,-,Standalone (annotation and negotiation tool for dataset creation),"Zero-shot, negotiation (human-in-the-loop conflict resolution)",ZS,Instruction,Yes,No,No,Experimental-work-and-datasets (GitHub),Yes,"Accuracy, Precision, Recall, F1-score, Cohen's kappa, Human agreement","Controlled experiment (manual vs. ChatGPT annotation, DL classifier evaluation)","Functional Suitability,Performance Efficiency,Reliability:",1,1,1,0.5,3.5,YES,no,no,YES,YES,no,YES,YES,YES,no,"concept/prototype, discussed potential, barriers highlighted","Limited to Amazon Appstore, review-level annotation, potential annotation ambiguity, need for further human validation, multi-label and sentence-level classification not addressed"
21,LLM-based user requirement analysis and intelligent Q&A toward Chang'an Twelve Hours,,2024,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205777312&doi=10.1109%2fCoST64302.2024.00038&partnerID=40&md5=6ed5e409feff889f27c5c5240214a173,,,,,,,,,YES,F,1,1,1,,,Cultural tourism (Chang'an Twelve Hours Scenic Area),user requirement refinement for tourism domain Q&A,m3e-base，LLM(no mentioned specific model),NO,-,Retrieval-augmented generation (RAG),"User attribute-based prompt engineering, vector database retrieval, context-enriched prompting",FS,Description and Question,Yes,"No (prototype system, not named)",no,Proprietary (Chang'an Twelve Hours vector database),no,"Qualitative comparison (specificity, relevance, user satisfaction)",Case study / comparative experiment (Table I & II),Functional Suitability，Reliability， Performance Efficiency,1,1,1,0.5,3.5,no,no,no,no,no,YES,YES,no,no,no,concept/prototype,"No explicit discussion of generalizability, scalability, or user study limitations"
22,Requirements Engineering Using Generative AI: Prompts and Prompting Patterns,,2024,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197030582&doi=10.1007%2f978-3-031-55642-5_5&partnerID=40&md5=6a84dc502bdf787ebc14798fab0169e5,,,,,,,,,YES,F,,1,,,,General domain (requirements engineering tasks: classification and traceability),,GPT-3.5 turbo,NO,,Standalone,"Prompt pattern-based, zero-shot, few-shot, chain-of-thought (patterns include Cognitive Verifier, Context Manager, Persona, Question Refinement, Template)",ZS FS COT,Instruction,Yes,No,No,"PROMISE (for classification), PURE (for traceability)",Yes,"precision, recall, accuracy, F-score, standard deviation",Controlled experiment,Functional Suitability，Reliability,1,1,1,0.5,3.5,no,YES,no,no,no,no,no,YES,YES,no,concept/prototype,Limited to two RE tasks; generalizability to other RE tasks not established; did not analyze prompt wording effects; human oversight recommended
23,Boosting LLM-Based Software Generation by Aligning Code with Requirements,,2024,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203104501&doi=10.1109%2fREW61692.2024.00045&partnerID=40&md5=4729a8a0b885ae8c97f3c5962c50d28c,,,,,,,,,YES,F,,,1,1,,"General domain; demonstrated on event-driven systems (e.g., railway crossing), generic event-driven systems, and frame story systems.",Requirements-to-code generation with behavioral programming paradigm,GPT-4-turbo,No,-,Standalone,,ZS,Instruction,Yes,BPpy,yes,"Custom set of 20 system specifications (10 generic, 10 frame story); code and prompts available at https://github.com/bThink-BGU/Papers-2024-MoDRE-BP-LLM",yes,"requirement alignment (number of requirements correctly implemented), statistical significance (Bernoulli variable)",Controlled experiment (comparison of LLM-generated code with and without BP paradigm across 20 specifications),Functional Suitability、Maintainability、Reliability,1,1,0.5,0.5,3,no,no,no,YES,no,no,YES,YES,YES,no,concept/prototype; open-source tool and code available; not in production,Limited to initial evaluation; more extensive and rigorous experiments planned; only BPpy and Python tested; small sample size.
24,Utilizing Process Models in the Requirements Engineering Process Through Model2Text Transformation,,2024,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202725174&doi=10.1109%2fRE59067.2024.00028&partnerID=40&md5=5064411d1cc0d9ad6e1adead60b56c8f,,,,,,,,,YES,F,1,,,1,,"General domain; focus on process-oriented requirements engineering, applicable to any domain using business process models (e.g., BPMN)",Model-to-text transformation for process models,"GPT3，3.5，4
LLAMA",No,-,Standalone,"zero-shot, prompt engineering (instructional prompts)",ZS,Instruction,Yes,no,no,PET dataset (Process Extraction from Text),yes,"Flesch-Kincaid Grade Level (FKGL), Flesch Reading Ease (FRE), number of sentences, number of words, words per sentence, non-contextual text similarity (TS-NC), contextual text similarity (TS-C), model-to-text overlap (O-OM, O-OT), model-to-tasks overlap (O-OO, O-OG), number of generated texts containing references to modeling elements",Controlled experiment (quantitative evaluation on benchmark dataset),Functional Suitability，Reliability，Interaction Capability,1,1,0.5,0.5,3,no,no,no,YES,no,no,YES,YES,YES,no,"concept/prototype; barriers highlighted (e.g., hallucinations, lack of control, correctness not guaranteed)",Limited dataset/sample size; simple models; limited BPMN constructs; correctness of generated text not assessed; potential for LLM hallucinations and information loss/excess.
25,A Vision for Operationalising Diversity and Inclusion in AI,,2024,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201222036&doi=10.1145%2f3643691.3648587&partnerID=40&md5=273ca46cbcfd41dc9b06c0846a9febad,,,,,,,,,YES,F,1,,,,,"General domain, with case studies in border security (Global Entry Access system) and education (adaptive learning platform)",Persona-based requirements elicitation for diversity and inclusion,No specific,NO,-,Standalone (envisioned as a tool with LLM API backend),,-,Description,No,"no (framework and tool are proposed, not implemented or named)",no,"no (persona repository is proposed, not available)",no,,"N/A (vision paper, no empirical evaluation yet)",Functional Suitabilit，Reliability，Flexibility,1,1,0.5,1,3.5,no,no,no,YES,no,no,YES,YES,no,no,"concept/prototype (framework and tool are proposed, not implemented)","Risks of stereotype reinforcement, representativeness of personas, lack of empirical validation, resource constraints"
26,SimAC: simulating agile collaboration to generate acceptance criteria in user story elaboration,,2024,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196531915&doi=10.1007%2fs10515-024-00448-7&partnerID=40&md5=89a3749f146379ff321a3e64a896c71b,,,,,,,,,YES,F,,,1,,,"Agile software development (general domain, with examples from NSF website, university data repository, citizen science platform)",Acceptance criteria generation,gpt-3.5-turbo，OpenLLaMA,,temperature:1,Standalone,"Role-based, few-shot prompting, semantic deduplication, create-update-update collaboration simulation",FS,Instruction，Iterative,Available,SimAC,yes,"Dalpiaz et al. (2019) user story dataset (public), plus released gold standard for US-AC",yes,"INVEST (Independent, Negotiable, Valuable, Estimable, Small, Testable) human scoring (Likert scale), completeness, validity, Cohen's kappa (inter-rater agreement), t-test, Cohen's d","Expert/practitioner study, manual gold standard construction, controlled experiment (comparative, ablation, statistical analysis)",Functional Suitability ，Performance Efficiency，Interaction Capability,1,1,1,1,4,bias,no,no,YES,YES,no,YES,YES,no,YES,"concept/prototype, open-source, barriers highlighted (e.g., LLM limitations, context dependence)",Effectiveness limited by LLM size and vague user stories; gold standard subjectivity; limited model diversity; external validity (real-world context) discussed.
27,How LLMs Aid in UML Modeling: An Exploratory Study with Novice Analysts,,2024,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205563300&doi=10.1109%2fSSE62657.2024.00046&partnerID=40&md5=c80e8845dd20140068d380f172578c0a,,,,,,,,,YES,F,,1,1,,,"General domain (software engineering education, novice analysts)",,GPT-3.5， GPT-4,-,-,Standalone,"Zero-shot, prompt-based interaction",-,Instruction，Iterative,,no,no,Project reports from 45 undergraduate students (Order Processing System case study),no,"Correctness rate (per modeling element), Average score (per model type)",Case study (course-based experiment with 45 students),Functional Suitability，Usability,1,1,1,1,4,no,YES,no,YES,no,no,YES,YES,YES,no,"concept/prototype (educational setting, not production)","Small sample size, novice participants only, manual scoring subjectivity, randomness of LLM outputs"
